name,price,emi,kilometer,fuel,transmission,link
2021 Maruti Baleno,4.13 lakh,"EMI ₹7,291/m","57,907 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2021-cars-gurgaon-11038968703/
2019 Maruti Swift,3.84 lakh,"EMI ₹6,779/m","50,240 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2019-cars-new-delhi-10551860738/
2018 Ford Ecosport,4.78 lakh,"EMI ₹8,436/m","47,497 km",Petrol,Auto,https://www.cars24.com/buy-used-ford-ecosport-2018-cars-noida-10507168766/
2022 Tata ALTROZ,3.76 lakh,"EMI ₹6,637/m","46,019 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-gurgaon-29640169791/
2017 Renault Kwid,1.66 lakh,"EMI ₹3,245/m","61,579 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2017-cars-new-delhi-11030562737/
2017 Hyundai Creta,4.90 lakh,"EMI ₹9,580/m","37,125 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-gurgaon-10193166742/
2020 Maruti Swift,3.72 lakh,"EMI ₹6,567/m","94,422 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2020-cars-new-delhi-10013566751/
2019 Maruti Baleno,3.76 lakh,"EMI ₹6,643/m","76,256 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2019-cars-gurgaon-10191863737/
2024 Tata Harrier,22.00 lakh,"EMI ₹37,669/m","19,734 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-harrier-2024-cars-new-delhi-10532163788/
2020 Hyundai Elite i20,3.91 lakh,"EMI ₹6,902/m","99,016 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2020-cars-gurgaon-11216363798/
2017 Hyundai Creta,6.42 lakh,"EMI ₹12,549/m","15,326 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-ghaziabad-10585769761/
2019 Honda Civic,8.06 lakh,"EMI ₹13,801/m","91,237 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-civic-2019-cars-ghaziabad-29650965773/
2021 Tata ALTROZ,3.35 lakh,"EMI ₹5,914/m","70,238 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2021-cars-gurgaon-10097766745/
