name,price,emi,kilometer,fuel,transmission,link
2018 Hyundai Grand i10,3.43 lakh,"EMI ₹6,055/m","58,524 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2018-cars-ahmedabad-11471761790/
2020 Tata Tiago,3.65 lakh,"EMI ₹6,448/m","86,516 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2020-cars-ahmedabad-12898264756/
2017 Maruti IGNIS,3.13 lakh,"EMI ₹8,251/m","1,00,735 km",CNG,Auto,https://www.cars24.com/buy-used-maruti-ignis-2017-cars-ahmedabad-11444266798/
2015 Honda Amaze,3.08 lakh,"EMI ₹8,106/m","65,481 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2015-cars-ahmedabad-11411062757/
2012 Hyundai i10,1.75 lakh,N/A,"86,413 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-i10-2012-cars-ahmedabad-14227167767/
2017 Mahindra Kuv100,2.53 lakh,"EMI ₹5,618/m","1,23,281 km",Petrol,Manual,https://www.cars24.com/buy-used-mahindra-kuv100-2017-cars-ahmedabad-11497269729/
2017 Renault Kwid,2.02 lakh,"EMI ₹3,950/m","37,890 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2017-cars-ahmedabad-15025707700/
2022 Tata TIGOR,4.65 lakh,"EMI ₹10,344/m","1,00,060 km",CNG,Manual,https://www.cars24.com/buy-used-tata-tigor-2022-cars-ahmedabad-11441067702/
2015 Hyundai Grand i10,3.05 lakh,"EMI ₹8,032/m","53,268 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-ahmedabad-11429060726/
2014 Hyundai Elite i20,3.44 lakh,"EMI ₹30,547/m","1,24,344 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2014-cars-ahmedabad-11435869738/
2017 Maruti Alto K10,2.29 lakh,"EMI ₹6,020/m","1,32,592 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-alto-k10-2017-cars-ahmedabad-14261060741/
2016 Maruti Ciaz,3.87 lakh,"EMI ₹10,187/m","1,15,424 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-ciaz-2016-cars-ahmedabad-11436260732/
2016 Maruti Baleno,3.91 lakh,"EMI ₹10,286/m","1,09,112 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-baleno-2016-cars-ahmedabad-11404162781/
2019 Maruti Alto,2.13 lakh,"EMI ₹3,752/m","74,869 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-2019-cars-ahmedabad-11449567720/
2022 Renault TRIBER,4.82 lakh,"EMI ₹8,508/m","47,822 km",CNG,Auto,https://www.cars24.com/buy-used-renault-triber-2022-cars-ahmedabad-11410368741/
2019 Tata Tiago,3.42 lakh,"EMI ₹6,044/m","33,426 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2019-cars-ahmedabad-11417762747/
2015 Honda Brio,2.38 lakh,"EMI ₹6,259/m","39,551 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-brio-2015-cars-ahmedabad-11475961795/
2016 Ford Ecosport,4.35 lakh,"EMI ₹11,449/m","78,199 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-ahmedabad-11482061798/
2015 Hyundai Xcent,2.54 lakh,"EMI ₹11,962/m","1,28,390 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2015-cars-ahmedabad-11498463786/
2017 Hyundai Grand i10,3.14 lakh,"EMI ₹6,129/m","77,942 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-11440466729/
2013 Hyundai i10,1.74 lakh,"EMI ₹8,188/m","76,742 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-ahmedabad-11437064753/
2019 Datsun Redi Go,1.63 lakh,"EMI ₹2,877/m","41,140 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-redi-go-2019-cars-ahmedabad-11434363788/
2015 Maruti Celerio,2.55 lakh,"EMI ₹6,715/m","59,953 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-ahmedabad-11488869734/
2019 Maruti Celerio,3.18 lakh,"EMI ₹7,083/m","1,12,545 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2019-cars-ahmedabad-11487564747/
2014 Maruti Wagon R 1.0,2.35 lakh,"EMI ₹20,860/m","69,071 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2014-cars-ahmedabad-11448661720/
2018 Maruti Baleno,3.73 lakh,"EMI ₹8,294/m","1,42,664 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-ahmedabad-20485803760/
2017 Maruti Alto 800,2.10 lakh,"EMI ₹4,106/m","50,954 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2017-cars-ahmedabad-24552167722/
2017 Honda Jazz,3.42 lakh,"EMI ₹6,692/m","43,981 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-jazz-2017-cars-ahmedabad-11466460728/
2016 Hyundai i10,2.51 lakh,"EMI ₹8,330/m","91,634 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-i10-2016-cars-ahmedabad-15093565732/
2022 Tata ALTROZ,5.58 lakh,"EMI ₹9,851/m","53,140 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-altroz-2022-cars-ahmedabad-11409863742/
2013 Hyundai i10,2.27 lakh,N/A,"77,830 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-ahmedabad-11486169726/
2017 Maruti Baleno,3.53 lakh,"EMI ₹7,860/m","1,28,599 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-ahmedabad-11410466723/
2015 Maruti Wagon R 1.0,2.19 lakh,"EMI ₹5,767/m","1,27,200 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-ahmedabad-11401867739/
2017 Maruti Vitara Brezza,5.34 lakh,"EMI ₹11,889/m","85,364 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-vitara-brezza-2017-cars-ahmedabad-11418660748/
2020 Maruti Eeco,3.09 lakh,"EMI ₹5,458/m","65,707 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-eeco-2020-cars-ahmedabad-15088105799/
2023 Tata NEXON,9.80 lakh,"EMI ₹16,775/m","33,590 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-nexon-2023-cars-ahmedabad-15031964708/
2017 Honda Amaze,3.09 lakh,"EMI ₹8,127/m","1,23,553 km",CNG,Manual,https://www.cars24.com/buy-used-honda-amaze-2017-cars-ahmedabad-11481660747/
2018 Honda Amaze,3.28 lakh,"EMI ₹7,302/m","1,43,929 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2018-cars-ahmedabad-11481962724/
2021 Renault TRIBER,4.12 lakh,"EMI ₹7,270/m","45,081 km",Petrol,Auto,https://www.cars24.com/buy-used-renault-triber-2021-cars-ahmedabad-38617569713/
2016 Hyundai Eon,2.10 lakh,"EMI ₹4,671/m","65,616 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2016-cars-ahmedabad-11452363741/
2014 Hyundai i10,2.07 lakh,"EMI ₹18,427/m","91,613 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-i10-2014-cars-ahmedabad-11414631760/
2019 Ford FREESTYLE,3.43 lakh,"EMI ₹6,055/m","76,498 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-freestyle-2019-cars-ahmedabad-11407363702/
2015 Hyundai Grand i10,3.23 lakh,"EMI ₹15,216/m","1,24,302 km",CNG,Auto,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-ahmedabad-11433360729/
2016 Hyundai Grand i10,2.62 lakh,"EMI ₹5,826/m","1,47,716 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2016-cars-ahmedabad-28388760749/
2019 Maruti Ciaz,5.17 lakh,"EMI ₹9,124/m","80,341 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2019-cars-ahmedabad-11496966744/
2021 MG HECTOR PLUS,10.21 lakh,"EMI ₹17,482/m","39,123 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-plus-2021-cars-ahmedabad-11432666730/
2022 Skoda SLAVIA,10.35 lakh,"EMI ₹17,717/m","34,449 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-slavia-2022-cars-ahmedabad-11489965767/
2017 Volkswagen Vento,5.07 lakh,"EMI ₹11,282/m","72,005 km",Diesel,Auto,https://www.cars24.com/buy-used-volkswagen-vento-2017-cars-ahmedabad-11478667772/
2016 Honda Jazz,3.22 lakh,"EMI ₹7,152/m","78,018 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2016-cars-ahmedabad-11491766730/
2020 Ford Ecosport,5.29 lakh,"EMI ₹11,760/m","1,40,261 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2020-cars-ahmedabad-11478260742/
2016 Maruti Wagon R 1.0,2.57 lakh,"EMI ₹5,723/m","76,678 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-ahmedabad-15061267753/
2023 Tata NEXON,8.03 lakh,"EMI ₹13,741/m","44,495 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-nexon-2023-cars-ahmedabad-11404363787/
2018 Mahindra KUV 100 NXT,3.15 lakh,"EMI ₹7,017/m","1,25,416 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-kuv-100-nxt-2018-cars-ahmedabad-11400504754/
2018 Skoda Octavia,7.85 lakh,"EMI ₹17,465/m","1,47,932 km",Diesel,Auto,https://www.cars24.com/buy-used-skoda-octavia-2018-cars-ahmedabad-11426002727/
2019 Honda Jazz,4.33 lakh,"EMI ₹7,646/m","71,331 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2019-cars-ahmedabad-11432062720/
2013 Hyundai i20,2.46 lakh,"EMI ₹11,585/m","67,492 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i20-2013-cars-ahmedabad-11474863783/
2019 Hyundai Xcent,4.38 lakh,"EMI ₹8,560/m","90,638 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2019-cars-ahmedabad-11461566701/
2015 Hyundai Grand i10,3.15 lakh,"EMI ₹8,303/m","67,390 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-ahmedabad-11429267701/
2023 KIA SONET,7.75 lakh,"EMI ₹17,239/m","1,11,384 km",Diesel,Manual,https://www.cars24.com/buy-used-kia-sonet-2023-cars-ahmedabad-11482566701/
2017 Honda Amaze,3.04 lakh,"EMI ₹8,013/m","90,634 km",CNG,Manual,https://www.cars24.com/buy-used-honda-amaze-2017-cars-ahmedabad-11413561742/
2019 Hyundai Creta,7.59 lakh,"EMI ₹16,895/m","1,39,342 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2019-cars-ahmedabad-11448300735/
2016 Renault Kwid,1.66 lakh,"EMI ₹3,684/m","1,23,083 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-ahmedabad-11403169722/
2015 Maruti Wagon R 1.0,2.45 lakh,"EMI ₹11,522/m","78,955 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2015-cars-ahmedabad-11437105761/
2017 Ford Ecosport,4.07 lakh,"EMI ₹9,062/m","1,48,216 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2017-cars-ahmedabad-28425968732/
2017 Hyundai Xcent,3.29 lakh,"EMI ₹6,424/m","76,164 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2017-cars-ahmedabad-36415164734/
2019 Ford Ecosport,5.08 lakh,"EMI ₹8,964/m","78,947 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2019-cars-ahmedabad-11454060705/
2022 KIA SELTOS,8.11 lakh,"EMI ₹13,878/m","71,472 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-seltos-2022-cars-ahmedabad-24415464753/
2017 Honda WR-V,3.86 lakh,"EMI ₹10,155/m","1,22,847 km",CNG,Manual,https://www.cars24.com/buy-used-honda-wr-v-2017-cars-ahmedabad-11453068784/
2018 Hyundai Eon,2.63 lakh,"EMI ₹5,844/m","51,218 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-eon-2018-cars-ahmedabad-11479564744/
2016 Maruti Wagon R 1.0,2.37 lakh,"EMI ₹5,272/m","1,11,054 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-ahmedabad-19033400704/
2017 Hyundai Grand i10,3.35 lakh,"EMI ₹7,451/m","1,44,028 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-ahmedabad-24593766729/
2021 Jeep Compass,11.10 lakh,"EMI ₹19,006/m","90,117 km",Diesel,Manual,https://www.cars24.com/buy-used-jeep-compass-2021-cars-ahmedabad-11479166788/
2020 Ford Ecosport,5.43 lakh,"EMI ₹12,083/m","1,07,733 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2020-cars-ahmedabad-34343364735/
2021 Jeep Compass,12.70 lakh,"EMI ₹21,745/m","63,724 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2021-cars-ahmedabad-11452269747/
2017 Hyundai Elite i20,3.94 lakh,"EMI ₹8,756/m","1,31,456 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-ahmedabad-10485163716/
2017 Maruti Wagon R 1.0,2.69 lakh,"EMI ₹5,253/m","68,484 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2017-cars-ahmedabad-15088968724/
2014 Maruti Alto 800,1.68 lakh,"EMI ₹5,588/m","38,460 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2014-cars-ahmedabad-11490565714/
2015 Hyundai Grand i10,2.56 lakh,"EMI ₹6,744/m","96,776 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-ahmedabad-10773761785/
2017 Renault Kwid,2.10 lakh,"EMI ₹4,106/m","64,156 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2017-cars-ahmedabad-11474864742/
2013 Honda Brio,2.22 lakh,N/A,"98,861 km",CNG,Manual,https://www.cars24.com/buy-used-honda-brio-2013-cars-ahmedabad-11417364738/
2014 Hyundai Grand i10,3.24 lakh,"EMI ₹28,809/m","79,567 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2014-cars-ahmedabad-15003062785/
2021 MG HECTOR,9.89 lakh,"EMI ₹16,928/m","50,608 km",Diesel,Manual,https://www.cars24.com/buy-used-mg-hector-2021-cars-ahmedabad-11497260736/
2019 Mahindra MARAZZO,4.90 lakh,"EMI ₹8,648/m","84,800 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-marazzo-2019-cars-ahmedabad-11413003766/
2021 Renault Duster,5.58 lakh,"EMI ₹9,846/m","67,909 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-duster-2021-cars-ahmedabad-15026466730/
2015 Honda Brio,3.05 lakh,"EMI ₹8,040/m","74,596 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-brio-2015-cars-ahmedabad-11464269781/
2024 Volkswagen TAIGUN,12.12 lakh,"EMI ₹20,752/m","7,517 km",Petrol,Auto,https://www.cars24.com/buy-used-volkswagen-taigun-2024-cars-ahmedabad-11450262732/
2017 Mahindra Kuv100,3.04 lakh,"EMI ₹6,763/m","60,342 km",Diesel,Manual,https://www.cars24.com/buy-used-mahindra-kuv100-2017-cars-ahmedabad-11456968729/
2018 Toyota Etios,4.59 lakh,"EMI ₹10,209/m","1,19,697 km",Diesel,Manual,https://www.cars24.com/buy-used-toyota-etios-2018-cars-ahmedabad-28316363783/
2022 Jeep Compass,13.37 lakh,"EMI ₹22,888/m","17,591 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2022-cars-ahmedabad-11418262748/
2015 Hyundai Xcent,3.12 lakh,"EMI ₹10,363/m","1,17,985 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-xcent-2015-cars-ahmedabad-11483066741/
2017 Jeep Compass,6.35 lakh,"EMI ₹12,421/m","89,529 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2017-cars-ahmedabad-11420962724/
2021 Hyundai NEW SANTRO,4.33 lakh,"EMI ₹7,645/m","13,801 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-new-santro-2021-cars-ahmedabad-11467244755/
2012 Maruti Alto 800,1.64 lakh,"EMI ₹14,583/m","32,314 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2012-cars-ahmedabad-21163961771/
2024 Hyundai Verna,12.79 lakh,"EMI ₹21,894/m","8,429 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-verna-2024-cars-ahmedabad-11415564745/
2022 Maruti Ciaz,7.32 lakh,"EMI ₹12,921/m","73,208 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2022-cars-ahmedabad-11439666703/
2022 MG HECTOR PLUS,12.17 lakh,"EMI ₹20,845/m","73,513 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-plus-2022-cars-ahmedabad-11412460786/
2021 Jeep Compass,13.75 lakh,"EMI ₹23,543/m","33,544 km",Petrol,Auto,https://www.cars24.com/buy-used-jeep-compass-2021-cars-ahmedabad-11472568706/
2018 Maruti Alto 800,2.15 lakh,"EMI ₹3,789/m","76,494 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-800-2018-cars-ahmedabad-11466464720/
2023 MG HECTOR,14.70 lakh,"EMI ₹25,170/m","23,585 km",Diesel,Manual,https://www.cars24.com/buy-used-mg-hector-2023-cars-ahmedabad-11459367728/
2017 Maruti Ciaz,4.49 lakh,"EMI ₹8,787/m","61,821 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2017-cars-ahmedabad-11431968769/
2020 Maruti New Wagon-R,3.38 lakh,"EMI ₹5,959/m","47,354 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2020-cars-ahmedabad-11490464703/
2022 Honda City,6.29 lakh,"EMI ₹11,097/m","43,039 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2022-cars-ahmedabad-11437968729/
2014 Hyundai Eon,1.58 lakh,"EMI ₹5,257/m","97,806 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2014-cars-ahmedabad-14259767761/
2020 Tata Tiago,3.73 lakh,"EMI ₹6,586/m","38,440 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2020-cars-ahmedabad-11425765762/
2021 Tata TIGOR,4.49 lakh,"EMI ₹7,917/m","72,168 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tigor-2021-cars-ahmedabad-11465066703/
2018 Honda WR-V,4.19 lakh,"EMI ₹9,311/m","1,24,680 km",CNG,Manual,https://www.cars24.com/buy-used-honda-wr-v-2018-cars-ahmedabad-11417162763/
2018 Tata TIAGO NRG,3.37 lakh,"EMI ₹7,500/m","88,842 km",CNG,Manual,https://www.cars24.com/buy-used-tata-tiago-nrg-2018-cars-ahmedabad-36468865727/
2016 Renault Kwid,1.61 lakh,"EMI ₹3,578/m","42,597 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kwid-2016-cars-ahmedabad-25712367709/
2016 Hyundai Elite i20,4.10 lakh,"EMI ₹10,797/m","1,44,531 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-ahmedabad-15097163742/
2015 Maruti Celerio,2.61 lakh,"EMI ₹6,860/m","52,233 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-ahmedabad-13238265729/
2022 KIA SONET,6.99 lakh,"EMI ₹12,338/m","38,249 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2022-cars-ahmedabad-11473365762/
2019 Hyundai VENUE,6.45 lakh,"EMI ₹11,386/m","64,818 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-ahmedabad-11469968761/
2020 Hyundai Creta,8.71 lakh,"EMI ₹14,913/m","90,856 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-ahmedabad-11462869768/
