name,price,emi,kilometer,fuel,transmission,link
2021 Tata Harrier,11.75 lakh,"EMI ₹20,119/m","98,669 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-harrier-2021-cars-mumbai-10396965785/
2019 Volkswagen Ameo,4.20 lakh,"EMI ₹7,414/m","99,697 km",Diesel,Auto,https://www.cars24.com/buy-used-volkswagen-ameo-2019-cars-mumbai-10356365784/
2016 Ford Ecosport,3.29 lakh,"EMI ₹8,664/m","1,13,314 km",Diesel,Manual,https://www.cars24.com/buy-used-ford-ecosport-2016-cars-mumbai-10377901765/
2020 Renault Duster,5.64 lakh,"EMI ₹9,956/m","60,373 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-duster-2020-cars-mumbai-12455667720/
2014 Maruti Ritz,2.18 lakh,"EMI ₹7,241/m","54,216 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ritz-2014-cars-mumbai-10336868725/
2021 Tata Tiago,4.73 lakh,"EMI ₹8,350/m","34,912 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tiago-2021-cars-mumbai-10370868740/
2018 Maruti S Cross,6.24 lakh,"EMI ₹12,199/m","54,168 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-mumbai-10336264724/
2015 Nissan Micra,2.61 lakh,"EMI ₹6,873/m","32,664 km",Petrol,Auto,https://www.cars24.com/buy-used-nissan-micra-2015-cars-mumbai-10324063745/
2022 Tata ALTROZ,4.59 lakh,"EMI ₹8,103/m","78,792 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2022-cars-mumbai-12509261713/
2015 Honda City,3.57 lakh,"EMI ₹9,401/m","72,066 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2015-cars-mumbai-10384064786/
2014 Volkswagen Polo,3.23 lakh,"EMI ₹15,220/m","49,147 km",Diesel,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2014-cars-mumbai-10354369734/
2017 Honda Jazz,3.05 lakh,"EMI ₹5,963/m","97,091 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2017-cars-mumbai-10325262742/
2014 Maruti Celerio,2.72 lakh,"EMI ₹24,167/m","52,353 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-celerio-2014-cars-mumbai-10377662747/
2016 Honda Amaze,3.01 lakh,"EMI ₹6,696/m","55,907 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-amaze-2016-cars-mumbai-10368966742/
2017 Maruti Baleno,4.94 lakh,"EMI ₹10,989/m","68,390 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-10356869733/
2022 Tata PUNCH,5.89 lakh,"EMI ₹10,397/m","72,486 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-punch-2022-cars-mumbai-10363865743/
2016 Honda Jazz,3.24 lakh,"EMI ₹7,207/m","48,217 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2016-cars-mumbai-10365167746/
2018 Maruti S Cross,5.78 lakh,"EMI ₹11,300/m","70,560 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2018-cars-mumbai-10307666746/
2017 Volkswagen Ameo,3.29 lakh,"EMI ₹6,432/m","47,711 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-ameo-2017-cars-mumbai-10323060727/
2021 Honda City,8.49 lakh,"EMI ₹14,537/m","57,038 km",CNG,Auto,https://www.cars24.com/buy-used-honda-city-2021-cars-mumbai-10328864741/
2018 Hyundai Elite i20,4.80 lakh,"EMI ₹10,677/m","1,03,511 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-mumbai-10376267745/
2019 Honda CRV,11.54 lakh,"EMI ₹19,759/m","76,335 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-crv-2019-cars-mumbai-10316069732/
2015 Maruti Ciaz,3.88 lakh,"EMI ₹10,218/m","44,023 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ciaz-2015-cars-mumbai-10336167727/
2019 Hyundai VENUE,6.54 lakh,"EMI ₹11,545/m","43,723 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-mumbai-10341267723/
2013 Maruti Swift,2.39 lakh,"EMI ₹11,251/m","38,852 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-2013-cars-mumbai-10371769724/
2019 Maruti IGNIS,3.57 lakh,"EMI ₹6,302/m","47,075 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ignis-2019-cars-mumbai-10395867740/
2017 Maruti Baleno,4.07 lakh,"EMI ₹10,718/m","83,624 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-baleno-2017-cars-mumbai-10344568730/
2018 Hyundai Creta,6.61 lakh,"EMI ₹11,668/m","50,016 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-mumbai-10383960723/
2021 Maruti New Wagon-R,3.72 lakh,"EMI ₹8,275/m","1,08,042 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-mumbai-10353160727/
2015 Maruti Ertiga,4.52 lakh,"EMI ₹21,277/m","1,07,500 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-ertiga-2015-cars-mumbai-10377564725/
2016 Volkswagen Ameo,3.42 lakh,"EMI ₹7,608/m","29,049 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-ameo-2016-cars-mumbai-10307463702/
2019 Honda Amaze,4.34 lakh,"EMI ₹7,661/m","73,616 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-amaze-2019-cars-mumbai-11404665747/
2018 Tata Tiago,3.47 lakh,"EMI ₹6,125/m","25,432 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-tiago-2018-cars-mumbai-12491860739/
2016 Tata Tiago,2.50 lakh,"EMI ₹5,561/m","70,339 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2016-cars-mumbai-10337660740/
2016 Maruti Swift Dzire,3.66 lakh,"EMI ₹8,151/m","7,310 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-swift-dzire-2016-cars-mumbai-10371467724/
2013 Maruti Ertiga,3.36 lakh,"EMI ₹15,817/m","33,718 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ertiga-2013-cars-mumbai-10318568793/
2017 Mahindra TUV300,3.76 lakh,"EMI ₹8,364/m","1,35,626 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-tuv300-2017-cars-mumbai-12425660784/
2021 Renault Kiger,5.12 lakh,"EMI ₹9,038/m","76,799 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kiger-2021-cars-mumbai-12415560726/
2012 Volkswagen Polo,2.13 lakh,"EMI ₹18,925/m","94,426 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-polo-2012-cars-mumbai-10307460736/
2016 Volkswagen Vento,3.06 lakh,"EMI ₹6,807/m","1,02,598 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-vento-2016-cars-mumbai-10381967737/
2019 Tata NEXON,5.17 lakh,"EMI ₹9,126/m","75,785 km",Diesel,Manual,https://www.cars24.com/buy-used-tata-nexon-2019-cars-mumbai-12422168786/
2017 Hyundai Creta,4.89 lakh,"EMI ₹9,560/m","71,372 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-creta-2017-cars-mumbai-10391465719/
2016 Tata Tiago,2.97 lakh,"EMI ₹6,609/m","26,162 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2016-cars-mumbai-10310860745/
2021 Maruti XL6,7.87 lakh,"EMI ₹13,893/m","88,174 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-xl6-2021-cars-mumbai-10335662746/
2019 Maruti Celerio X,3.71 lakh,"EMI ₹6,549/m","32,687 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-x-2019-cars-mumbai-12371568716/
2017 Volkswagen TIGUAN,9.04 lakh,"EMI ₹19,655/m","79,459 km",Diesel,Auto,https://www.cars24.com/buy-used-volkswagen-tiguan-2017-cars-mumbai-10330960736/
2021 KIA SONET,7.50 lakh,"EMI ₹13,240/m","42,536 km",Diesel,Manual,https://www.cars24.com/buy-used-kia-sonet-2021-cars-mumbai-10001067727/
2020 Hyundai Creta,10.25 lakh,"EMI ₹17,550/m","35,003 km",Diesel,Auto,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-mumbai-10369262743/
2018 Tata Hexa,7.17 lakh,"EMI ₹14,017/m","87,989 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-hexa-2018-cars-mumbai-11205465789/
2016 Tata Tiago,2.66 lakh,"EMI ₹8,835/m","1,15,645 km",CNG,Manual,https://www.cars24.com/buy-used-tata-tiago-2016-cars-mumbai-10303367737/
2016 Honda City,3.68 lakh,"EMI ₹8,186/m","78,614 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2016-cars-mumbai-10320760720/
2018 Hyundai Creta,7.16 lakh,"EMI ₹12,646/m","33,321 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2018-cars-mumbai-10314061729/
2013 Maruti Wagon R 1.0,1.91 lakh,"EMI ₹8,991/m","84,289 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2013-cars-mumbai-10335666723/
2020 KIA SELTOS,10.10 lakh,"EMI ₹17,294/m","68,333 km",Diesel,Auto,https://www.cars24.com/buy-used-kia-seltos-2020-cars-mumbai-10349865701/
2018 Datsun Redi Go,2.22 lakh,"EMI ₹3,916/m","40,396 km",Petrol,Auto,https://www.cars24.com/buy-used-datsun-redi-go-2018-cars-mumbai-10386769748/
2021 Renault Kiger,5.43 lakh,"EMI ₹9,585/m","34,281 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-kiger-2021-cars-mumbai-10363067707/
2016 Maruti Wagon R 1.0,2.72 lakh,"EMI ₹9,034/m","45,686 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-wagon-r-1.0-2016-cars-mumbai-10351161749/
2019 Maruti Alto K10,2.74 lakh,"EMI ₹4,837/m","2,708 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-k10-2019-cars-mumbai-10301765723/
2025 Hyundai AURA,7.39 lakh,"EMI ₹13,045/m","11,939 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-aura-2025-cars-mumbai-10388468704/
2021 Tata NEXON,5.24 lakh,"EMI ₹11,656/m","1,04,667 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-nexon-2021-cars-mumbai-10315364726/
