name,price,emi,kilometer,fuel,transmission,link
2013 Hyundai i10,2.32 lakh,"EMI ₹10,921/m","48,696 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-i10-2013-cars-hyderabad-10492363743/
2021 Volkswagen TAIGUN,10.43 lakh,"EMI ₹17,850/m","5,099 km",Petrol,Manual,https://www.cars24.com/buy-used-volkswagen-taigun-2021-cars-hyderabad-10428661736/
2023 KIA SONET,7.85 lakh,"EMI ₹13,866/m","44,168 km",Petrol,Manual,https://www.cars24.com/buy-used-kia-sonet-2023-cars-hyderabad-10469062701/
2021 Mahindra Thar,10.57 lakh,"EMI ₹18,098/m","35,846 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10494160786/
2016 Maruti Celerio,2.78 lakh,"EMI ₹6,184/m","88,975 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2016-cars-hyderabad-10437261728/
2022 Maruti S Cross,6.92 lakh,"EMI ₹12,216/m","71,148 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-s-cross-2022-cars-hyderabad-10478561732/
2017 Honda Jazz,3.97 lakh,"EMI ₹7,761/m","93,972 km",Petrol,Auto,https://www.cars24.com/buy-used-honda-jazz-2017-cars-hyderabad-10492560740/
2017 Maruti Swift,4.50 lakh,"EMI ₹10,010/m","84,402 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-swift-2017-cars-hyderabad-10492665746/
2024 Maruti New Wagon-R,4.82 lakh,"EMI ₹8,509/m","11,914 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2024-cars-hyderabad-10051160733/
2019 Maruti S Cross,5.84 lakh,"EMI ₹12,991/m","1,25,199 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2019-cars-hyderabad-10450662724/
2016 Maruti S Cross,4.95 lakh,"EMI ₹13,048/m","1,11,866 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-s-cross-2016-cars-hyderabad-10466662714/
2018 Hyundai NEW SANTRO,3.57 lakh,"EMI ₹6,308/m","41,252 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-new-santro-2018-cars-hyderabad-10410163737/
2018 Maruti Baleno,5.65 lakh,"EMI ₹9,974/m","30,962 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10493668701/
2021 Maruti New Wagon-R,4.12 lakh,"EMI ₹7,273/m","32,406 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-hyderabad-10415165739/
2019 MG HECTOR,9.09 lakh,"EMI ₹15,564/m","57,526 km",Petrol,Manual,https://www.cars24.com/buy-used-mg-hector-2019-cars-hyderabad-10427960798/
2020 Datsun Redi Go,2.27 lakh,"EMI ₹5,049/m","1,15,564 km",Petrol,Manual,https://www.cars24.com/buy-used-datsun-redi-go-2020-cars-hyderabad-10420862745/
2022 Nissan Kicks,8.70 lakh,"EMI ₹14,897/m","39,906 km",Petrol,Auto,https://www.cars24.com/buy-used-nissan-kicks-2022-cars-hyderabad-10487569701/
2018 Maruti Ciaz,4.74 lakh,"EMI ₹10,544/m","1,27,751 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-hyderabad-10421365725/
2013 Ford Ecosport,3.96 lakh,"EMI ₹18,663/m","48,403 km",Petrol,Auto,https://www.cars24.com/buy-used-ford-ecosport-2013-cars-hyderabad-10422863724/
2018 Maruti Vitara Brezza,6.40 lakh,"EMI ₹14,236/m","1,03,888 km",Diesel,Auto,https://www.cars24.com/buy-used-maruti-vitara-brezza-2018-cars-hyderabad-10415661739/
2021 Mahindra Thar,9.57 lakh,"EMI ₹16,386/m","40,525 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-thar-2021-cars-hyderabad-10402733745/
2018 Maruti Baleno,5.09 lakh,"EMI ₹11,322/m","1,00,709 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10402063705/
2020 Maruti Ertiga,8.30 lakh,"EMI ₹14,212/m","97,442 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-ertiga-2020-cars-hyderabad-10403565745/
2021 Tata ALTROZ,6.70 lakh,"EMI ₹11,827/m","66,208 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-altroz-2021-cars-hyderabad-10488062734/
2020 Hyundai Creta,9.27 lakh,"EMI ₹15,872/m","99,463 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-hyderabad-10472165727/
2020 Hyundai Creta,11.02 lakh,"EMI ₹18,869/m","49,184 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-creta-2020-cars-hyderabad-10488631723/
2015 Nissan Micra Active,2.69 lakh,"EMI ₹7,084/m","54,577 km",Petrol,Manual,https://www.cars24.com/buy-used-nissan-micra-active-2015-cars-hyderabad-10455167743/
2022 MG HECTOR PLUS,11.71 lakh,"EMI ₹20,050/m","79,226 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-plus-2022-cars-hyderabad-12175269733/
2020 Ford Ecosport,6.71 lakh,"EMI ₹11,845/m","74,950 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2020-cars-hyderabad-10442360756/
2017 Hyundai Elite i20,4.83 lakh,"EMI ₹9,443/m","64,410 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2017-cars-hyderabad-10479263722/
2019 Skoda Kodiaq,16.24 lakh,"EMI ₹27,807/m","79,224 km",Diesel,Auto,https://www.cars24.com/buy-used-skoda-kodiaq-2019-cars-hyderabad-10415162731/
2020 KIA SELTOS,10.13 lakh,"EMI ₹17,345/m","76,942 km",Diesel,Manual,https://www.cars24.com/buy-used-kia-seltos-2020-cars-hyderabad-10454564733/
2021 Ford Ecosport,7.12 lakh,"EMI ₹12,569/m","42,957 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2021-cars-hyderabad-10479268760/
2018 Maruti Ciaz,5.59 lakh,"EMI ₹9,868/m","83,072 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-ciaz-2018-cars-hyderabad-10487068748/
2022 Mahindra XUV300,8.45 lakh,"EMI ₹14,468/m","35,215 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv300-2022-cars-hyderabad-10444465736/
2020 Maruti Vitara Brezza,7.70 lakh,"EMI ₹13,593/m","66,311 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-vitara-brezza-2020-cars-hyderabad-10419163702/
2018 Maruti Baleno,5.99 lakh,"EMI ₹11,711/m","99,790 km",Diesel,Manual,https://www.cars24.com/buy-used-maruti-baleno-2018-cars-hyderabad-10422364747/
2013 Maruti Swift Dzire,3.53 lakh,"EMI ₹16,617/m","33,909 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-swift-dzire-2013-cars-hyderabad-10498864742/
2018 Maruti Dzire,5.75 lakh,"EMI ₹10,150/m","53,504 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-dzire-2018-cars-hyderabad-10457069722/
2019 Volkswagen TIGUAN,12.75 lakh,"EMI ₹27,722/m","1,11,433 km",Diesel,Auto,https://www.cars24.com/buy-used-volkswagen-tiguan-2019-cars-hyderabad-10480365737/
2019 Maruti Vitara Brezza,7.07 lakh,"EMI ₹12,480/m","72,378 km",Diesel,Auto,https://www.cars24.com/buy-used-maruti-vitara-brezza-2019-cars-hyderabad-10476066723/
2023 Mahindra XUV700,18.80 lakh,"EMI ₹32,190/m","94,253 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2023-cars-hyderabad-10408661702/
2021 Mahindra XUV300,6.85 lakh,"EMI ₹15,237/m","1,26,069 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv300-2021-cars-hyderabad-10497160723/
2021 Tata NEXON,7.30 lakh,"EMI ₹12,886/m","60,496 km",Diesel,Auto,https://www.cars24.com/buy-used-tata-nexon-2021-cars-hyderabad-10436867748/
2014 Honda City,4.52 lakh,"EMI ₹15,013/m","91,012 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2014-cars-hyderabad-10470330700/
2023 Maruti BREZZA,9.77 lakh,"EMI ₹16,729/m","76,509 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-brezza-2023-cars-hyderabad-10419960700/
2021 KIA SELTOS,10.25 lakh,"EMI ₹17,550/m","99,164 km",Petrol,Auto,https://www.cars24.com/buy-used-kia-seltos-2021-cars-hyderabad-10441962707/
2023 KIA SELTOS,9.90 lakh,"EMI ₹21,525/m","1,21,707 km",Diesel,Manual,https://www.cars24.com/buy-used-kia-seltos-2023-cars-hyderabad-10428468745/
2021 MG HECTOR,11.26 lakh,"EMI ₹19,280/m","44,290 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-2021-cars-hyderabad-10445807740/
2018 Honda City,5.40 lakh,"EMI ₹9,532/m","94,464 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-city-2018-cars-hyderabad-10440764785/
2021 Mahindra XUV700,15.91 lakh,"EMI ₹27,242/m","81,453 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2021-cars-hyderabad-10444463789/
2022 Hyundai ALCAZAR,14.13 lakh,"EMI ₹24,194/m","65,325 km",Diesel,Auto,https://www.cars24.com/buy-used-hyundai-alcazar-2022-cars-hyderabad-10405162726/
2021 MG HECTOR PLUS,11.47 lakh,"EMI ₹19,639/m","73,400 km",Petrol,Auto,https://www.cars24.com/buy-used-mg-hector-plus-2021-cars-hyderabad-10479163702/
2023 MG HECTOR PLUS,14.39 lakh,"EMI ₹24,639/m","32,977 km",Diesel,Manual,https://www.cars24.com/buy-used-mg-hector-plus-2023-cars-hyderabad-10408067700/
