name,price,emi,kilometer,fuel,transmission,link
2016 Hyundai Elite i20,3.68 lakh,"EMI ₹8,186/m","1,15,706 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2016-cars-pune-10642961784/
2019 Honda Amaze,4.31 lakh,"EMI ₹8,426/m","96,245 km",CNG,Manual,https://www.cars24.com/buy-used-honda-amaze-2019-cars-pune-10674564737/
2015 Maruti Baleno,4.24 lakh,"EMI ₹11,166/m","76,760 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-baleno-2015-cars-pune-10660061722/
2014 Maruti Ertiga,4.50 lakh,"EMI ₹39,982/m","47,925 km",CNG,Manual,https://www.cars24.com/buy-used-maruti-ertiga-2014-cars-pune-10683364771/
2023 Skoda Octavia,20.93 lakh,"EMI ₹35,837/m","41,459 km",Petrol,Auto,https://www.cars24.com/buy-used-skoda-octavia-2023-cars-pune-10639261724/
2024 Tata PUNCH,7.87 lakh,"EMI ₹13,893/m","1,174 km",Petrol,Auto,https://www.cars24.com/buy-used-tata-punch-2024-cars-pune-10649266762/
2019 Hyundai NEW SANTRO,3.39 lakh,"EMI ₹7,541/m","1,42,730 km",CNG,Manual,https://www.cars24.com/buy-used-hyundai-new-santro-2019-cars-pune-10638861743/
2013 Ford Ecosport,3.05 lakh,"EMI ₹14,357/m","68,652 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2013-cars-pune-10624064708/
2023 Mahindra XUV700,16.73 lakh,"EMI ₹28,646/m","47,042 km",Diesel,Auto,https://www.cars24.com/buy-used-mahindra-xuv700-2023-cars-pune-10660964749/
2021 MG HECTOR,11.61 lakh,"EMI ₹25,243/m","1,26,892 km",Diesel,Manual,https://www.cars24.com/buy-used-mg-hector-2021-cars-pune-10635068726/
2018 Jeep Compass,8.04 lakh,"EMI ₹17,481/m","1,00,310 km",Diesel,Manual,https://www.cars24.com/buy-used-jeep-compass-2018-cars-pune-10659060741/
2015 Hyundai Grand i10,2.73 lakh,"EMI ₹7,189/m","1,45,877 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-grand-i10-2015-cars-pune-10688862781/
